,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District,
6310191,CLAYTON COUNTY,LOVEJOY MIDDL,203,817.75,14.8,79.3,5.9,85.2,202,826.77,10.9,73.3,15.8,89.1,202,822.07,19.3,63.9,16.8,80.7,203,806.13,42.4,50.2,7.4,57.6,203,794.33,61.1,31.5,7.4,38.9,7,13th,
6310197,CLAYTON COUNTY,KENDRICK MIDD,296,820.05,15.5,74.0,10.5,84.5,296,830.00,10.1,64.2,25.7,89.9,294,834.37,16.3,49.3,34.4,83.7,297,812.69,33.7,53.5,12.8,66.3,296,797.27,57.4,35.5,7.1,42.6,7,13th,
6310207,CLAYTON COUNTY,REX MILL MIDD,340,827.50,7.9,73.2,18.8,92.1,341,841.81,5.0,55.1,39.9,95.0,341,842.06,9.4,49.9,40.8,90.6,341,824.45,24.3,50.4,25.2,75.7,332,833.27,26.8,35.2,38.0,73.2,7,13th,
6310277,CLAYTON COUNTY,POINTE SOUTH,275,817.92,15.6,74.2,10.2,84.4,275,828.73,10.5,68.7,20.7,89.5,274,826.05,17.5,59.9,22.6,82.5,276,811.71,34.8,54.3,10.9,65.2,273,795.01,56.8,38.1,5.1,43.2,7,13th,
6312054,CLAYTON COUNTY,FOREST PARK M,264,817.14,17.8,74.6,7.6,82.2,266,830.93,9.4,63.9,26.7,90.6,266,827.50,13.2,65.0,21.8,86.8,268,807.68,43.7,46.3,10.1,56.3,266,789.56,66.9,26.7,6.4,33.1,7,13th,
6313050,CLAYTON COUNTY,BABB MIDDLE S,265,822.45,15.1,71.3,13.6,84.9,264,834.18,9.5,58.7,31.8,90.5,263,831.49,14.1,58.6,27.4,85.9,264,821.11,26.5,53.8,19.7,73.5,264,804.05,48.9,38.6,12.5,51.1,7,13th,
6313052,CLAYTON COUNTY,NORTH CLAYTON,301,816.50,16.9,76.1,7.0,83.1,304,826.79,11.8,69.4,18.8,88.2,298,822.29,17.1,65.4,17.4,82.9,304,812.41,36.5,50.3,13.2,63.5,303,794.35,57.1,39.3,3.6,42.9,7,13th,
6313060,CLAYTON COUNTY,RIVERDALE MID,255,824.14,14.5,67.1,18.4,85.5,255,835.98,10.2,52.2,37.6,89.8,252,833.62,14.3,52.0,33.7,85.7,254,818.05,32.7,49.2,18.1,67.3,250,805.34,50.0,31.2,18.8,50.0,7,13th,
6320201,CLINCH COUNTY,CLINCH CO ELE,95,822.97,10.5,80.0,9.5,89.5,94,836.33,5.3,64.9,29.8,94.7,95,824.55,11.6,74.7,13.7,88.4,96,828.04,20.8,52.1,27.1,79.2,96,811.86,38.5,43.8,17.7,61.5,13,1st,
6330110,COBB COUNTY,IMAGINE INTER,53,828.26,3.8,81.1,15.1,96.2,53,839.47,1.9,54.7,43.4,98.1,53,829.00,9.4,62.3,28.3,90.6,53,832.74,7.5,60.4,32.1,92.5,53,812.98,34.0,52.8,13.2,66.0,7,13th,
6330111,COBB COUNTY,IMAGINE INT A,54,817.67,18.5,79.6,1.9,81.5,54,826.13,9.3,77.8,13.0,90.7,54,816.44,24.1,64.8,11.1,75.9,57,807.14,40.4,54.4,5.3,59.6,57,788.49,64.9,29.8,5.3,35.1,7,13th,
6330178,COBB COUNTY,MABRY MIDDLE,269,849.41,0.7,44.6,54.6,99.3,269,856.23,0.0,32.7,67.3,100.0,268,859.66,1.1,35.8,63.1,98.9,269,870.74,3.7,17.5,78.8,96.3,269,860.63,6.7,27.9,65.4,93.3,7,6th,
6330184,COBB COUNTY,MCCLESKEY MID,221,836.48,4.5,65.2,30.3,95.5,222,850.37,2.3,41.9,55.9,97.7,220,851.64,3.2,46.8,50.0,96.8,224,854.22,9.4,39.3,51.3,90.6,224,868.32,7.6,25.0,67.4,92.4,7,6th,
6330202,COBB COUNTY,LINDLEY MIDDL,480,822.78,11.0,75.4,13.5,89.0,480,833.02,7.9,63.1,29.0,92.1,476,822.46,17.0,66.8,16.2,83.0,492,823.56,24.0,53.7,22.4,76.0,489,821.48,33.3,38.7,28.0,66.7,7,13th,
6330275,COBB COUNTY,DODGEN MIDDLE,390,848.29,1.0,48.2,50.8,99.0,390,864.69,0.5,28.2,71.3,99.5,389,873.59,2.3,22.6,75.1,97.7,393,868.89,2.5,24.4,73.0,97.5,391,876.42,4.3,20.5,75.2,95.7,7,6th,
6330280,COBB COUNTY,PINE MOUNTAIN,263,832.06,7.6,65.0,27.4,92.4,266,840.17,6.4,53.0,40.6,93.6,258,845.19,5.8,46.1,48.1,94.2,271,838.33,15.9,45.8,38.4,84.1,270,836.39,24.8,36.3,38.9,75.2,7,11th,
6330281,COBB COUNTY,DICKERSON MID,383,851.32,1.3,41.8,56.9,98.7,384,866.08,1.6,19.8,78.6,98.4,384,869.26,1.0,28.6,70.3,99.0,386,860.96,2.3,31.9,65.8,97.7,384,886.64,2.3,16.1,81.5,97.7,7,6th,
6330290,COBB COUNTY,CAMPBELL MIDD,369,821.51,12.7,75.3,11.9,87.3,368,834.38,8.7,58.4,32.9,91.3,365,829.68,14.2,59.7,26.0,85.8,375,820.49,28.3,49.6,22.1,71.7,371,814.24,41.0,35.0,24.0,59.0,7,13th,
6330294,COBB COUNTY,SMITHA MIDDLE,298,820.77,16.4,73.8,9.7,83.6,297,828.89,11.8,65.7,22.6,88.2,296,825.54,14.2,65.9,19.9,85.8,301,817.76,29.2,53.2,17.6,70.8,296,806.10,49.3,33.8,16.9,50.7,7,13th,
6330299,COBB COUNTY,DURHAM MIDDLE,366,843.49,3.0,50.5,46.4,97.0,368,848.89,4.6,38.3,57.1,95.4,367,852.83,3.8,40.9,55.3,96.2,369,847.14,6.5,46.1,47.4,93.5,366,862.94,8.5,28.7,62.8,91.5,7,11th,
6330389,COBB COUNTY,SIMPSON MIDDL,282,846.72,1.4,48.2,50.4,98.6,283,861.24,1.4,23.7,74.9,98.6,279,866.78,2.5,30.8,66.7,97.5,284,865.97,2.5,26.8,70.8,97.5,283,880.06,4.9,19.1,76.0,95.1,7,6th,
6330394,COBB COUNTY,HIGHTOWER TRA,306,849.88,0.3,48.4,51.3,99.7,306,860.56,1.0,27.8,71.2,99.0,306,870.57,2.0,24.5,73.5,98.0,306,879.04,1.0,19.6,79.4,99.0,306,884.84,3.6,16.3,80.1,96.4,7,6th,
6330407,COBB COUNTY,BARBER MIDDLE,311,829.39,8.4,69.8,21.9,91.6,309,839.21,8.1,52.1,39.8,91.9,303,839.59,13.9,47.9,38.3,86.1,310,836.24,14.2,50.6,35.2,85.8,311,850.14,14.1,35.7,50.2,85.9,7,11th,
6330475,COBB COUNTY,TAPP MIDDLE S,235,829.21,9.8,67.7,22.6,90.2,234,840.22,5.6,56.8,37.6,94.4,235,830.51,12.3,61.7,26.0,87.7,236,833.71,18.6,44.5,36.9,81.4,236,822.67,30.5,41.9,27.5,69.5,7,13th,
6330499,COBB COUNTY,LOST MOUNTAIN,398,837.85,3.0,63.3,33.7,97.0,396,847.60,2.5,48.7,48.7,97.5,396,848.68,4.8,45.7,49.5,95.2,397,845.20,7.3,45.1,47.6,92.7,396,853.59,8.8,33.3,57.8,91.2,7,11th,
6330502,COBB COUNTY,COOPER MIDDLE,282,824.46,9.2,76.6,14.2,90.8,283,836.91,9.2,57.6,33.2,90.8,282,832.05,11.0,61.0,28.0,89.0,285,823.42,24.2,53.0,22.8,75.8,282,806.44,41.1,44.7,14.2,58.9,7,11th,
6330507,COBB COUNTY,MCCLURE MIDDL,387,838.45,3.6,62.0,34.4,96.4,386,845.84,3.1,47.2,49.7,96.9,379,854.81,4.2,37.7,58.0,95.8,389,855.53,5.9,34.2,59.9,94.1,390,858.74,10.0,29.7,60.3,90.0,7,11th,
6330602,COBB COUNTY,PALMER MIDDLE,351,834.03,6.8,63.0,30.2,93.2,349,843.32,7.2,47.3,45.6,92.8,345,849.19,5.2,43.2,51.6,94.8,352,849.51,8.5,36.4,55.1,91.5,352,847.05,17.3,32.4,50.3,82.7,7,11th,
6330607,COBB COUNTY,LOVINGGOOD MI,383,840.64,3.4,56.1,40.5,96.6,383,849.26,2.9,41.8,55.4,97.1,380,861.28,2.1,35.5,62.4,97.9,384,860.96,7.0,31.0,62.0,93.0,384,876.63,5.7,17.2,77.1,94.3,7,11th,
6330807,COBB COUNTY,DEVEREUX ACKE,14,805.36,28.6,71.4,0.0,71.4,14,811.14,42.9,42.9,14.3,57.1,14,788.86,71.4,28.6,0.0,28.6,15,801.73,53.3,46.7,0.0,46.7,15,785.47,73.3,20.0,6.7,26.7,7,11th,
6331056,COBB COUNTY,EAST COBB MID,448,824.58,14.3,68.5,17.2,85.7,451,832.01,11.3,60.5,28.2,88.7,452,831.55,16.6,55.1,28.3,83.4,453,828.45,23.8,48.1,28.0,76.2,450,820.50,34.4,39.3,26.2,65.6,7,6th,
6331060,COBB COUNTY,GARRETT MIDDL,278,821.27,12.9,72.7,14.4,87.1,279,828.46,15.4,60.2,24.4,84.6,281,829.16,14.9,60.1,24.9,85.1,286,817.03,34.6,46.2,19.2,65.4,281,793.00,64.1,23.8,12.1,35.9,7,11th,
6332560,COBB COUNTY,GRIFFIN MIDDL,324,826.18,10.8,70.4,18.8,89.2,326,836.97,7.7,58.6,33.7,92.3,322,836.53,12.7,52.5,34.8,87.3,337,833.06,20.8,42.4,36.8,79.2,333,827.50,30.6,33.9,35.4,69.4,7,13th,
6334050,COBB COUNTY,AWTREY MIDDLE,295,832.91,5.8,67.8,26.4,94.2,297,841.11,5.7,55.9,38.4,94.3,296,843.96,6.4,51.7,41.9,93.6,300,841.54,10.0,48.7,41.3,90.0,297,845.66,16.8,34.7,48.5,83.2,7,11th,
6334056,COBB COUNTY,DANIELL MIDDL,327,833.98,4.9,66.4,28.7,95.1,326,841.70,5.5,51.2,43.3,94.5,326,843.20,8.3,52.1,39.6,91.7,327,847.18,11.6,41.6,46.8,88.4,325,866.34,8.9,25.5,65.5,91.1,7,11th,
6335058,COBB COUNTY,FLOYD MIDDLE,256,825.17,8.6,76.2,15.2,91.4,258,834.58,4.7,65.1,30.2,95.3,254,829.39,13.4,65.0,21.7,86.6,262,834.43,19.1,43.9,37.0,80.9,260,849.92,17.7,29.6,52.7,82.3,7,13th,
6340108,COFFEE COUNTY,COFFEE MIDDLE,563,822.90,11.4,75.5,13.1,88.6,567,833.06,7.4,64.2,28.4,92.6,559,830.29,13.2,63.7,23.1,86.8,571,831.94,22.2,46.2,31.5,77.8,570,832.14,23.9,41.8,34.4,76.1,13,1st,
6350111,COLQUITT COUNTY,WILLIE J WIL,630,826.17,12.2,68.7,19.0,87.8,627,837.97,8.5,54.1,37.5,91.5,623,834.14,10.9,61.0,28.1,89.1,641,828.76,21.7,50.4,27.9,78.3,640,825.87,27.8,41.6,30.6,72.2,15,8th,
6360101,COLUMBIA COUNTY,GREENBRIER MI,170,843.08,4.7,55.3,40.0,95.3,170,854.89,1.8,37.1,61.2,98.2,170,859.38,4.7,38.2,57.1,95.3,169,857.54,4.1,39.1,56.8,95.9,169,872.12,5.3,20.1,74.6,94.7,1,10th,
6360103,COLUMBIA COUNTY,GROVETOWN MID,267,828.43,9.0,68.2,22.8,91.0,267,834.74,8.6,61.8,29.6,91.4,269,829.42,18.6,53.9,27.5,81.4,271,830.41,20.3,50.2,29.5,79.7,268,837.26,20.9,36.2,42.9,79.1,1,10th,
6360107,COLUMBIA COUNTY,EVANS MIDD SC,310,840.25,3.5,56.8,39.7,96.5,309,850.16,3.9,41.7,54.4,96.1,309,845.48,6.1,50.5,43.4,93.9,309,848.50,9.4,40.1,50.5,90.6,309,850.25,14.6,33.3,52.1,85.4,1,10th,
6360108,COLUMBIA COUNTY,STALLINGS ISL,174,853.08,0.0,43.7,56.3,100.0,174,861.24,0.0,32.2,67.8,100.0,175,862.83,2.3,33.1,64.6,97.7,175,876.65,0.6,21.7,77.7,99.4,175,892.11,2.3,14.3,83.4,97.7,1,10th,
6360193,COLUMBIA COUNTY,RIVERSIDE MID,258,843.46,1.2,54.3,44.6,98.8,257,851.07,2.7,40.1,57.2,97.3,257,853.63,3.1,41.2,55.6,96.9,260,856.41,6.9,31.2,61.9,93.1,260,864.37,8.5,24.2,67.3,91.5,1,10th,
6360283,COLUMBIA COUNTY,HARLEM MIDDLE,171,828.98,7.0,73.7,19.3,93.0,171,833.81,7.6,64.9,27.5,92.4,171,836.76,9.4,57.9,32.7,90.6,171,835.60,14.0,48.5,37.4,86.0,170,833.08,20.0,42.9,37.1,80.0,1,10th,
6360290,COLUMBIA COUNTY,LAKESIDE MIDD,247,836.25,4.0,64.0,32.0,96.0,247,846.56,4.0,47.8,48.2,96.0,248,841.27,8.5,53.6,37.9,91.5,247,847.20,6.9,47.0,46.2,93.1,245,842.16,15.9,38.8,45.3,84.1,1,10th,
6362050,COLUMBIA COUNTY,COLUMBIA MIDD,256,834.88,4.7,66.8,28.5,95.3,256,843.71,4.3,51.2,44.5,95.7,256,845.41,6.3,50.0,43.8,93.8,256,844.84,10.5,44.9,44.5,89.5,256,858.28,11.7,27.7,60.5,88.3,1,10th,
6370101,COOK COUNTY,COOK COUNTY M,238,824.99,8.8,76.5,14.7,91.2,238,836.96,7.6,54.6,37.8,92.4,239,817.80,21.8,69.5,8.8,78.2,239,825.42,24.3,48.1,27.6,75.7,238,825.42,30.3,38.2,31.5,69.7,3,1st,
6380106,COWETA COUNTY,LEE MIDDLE SC,316,837.32,2.5,65.8,31.6,97.5,319,849.43,3.8,43.9,52.4,96.2,314,845.76,6.4,49.4,44.3,93.6,326,846.21,9.2,41.4,49.4,90.8,325,833.82,20.9,38.8,40.3,79.1,16,3rd,
6380289,COWETA COUNTY,EAST COWETA M,260,832.50,7.3,65.4,27.3,92.7,263,839.65,6.1,56.7,37.3,93.9,262,833.16,8.8,62.2,29.0,91.2,269,832.32,17.8,51.3,30.9,82.2,269,845.26,18.6,30.5,50.9,81.4,16,3rd,
6380299,COWETA COUNTY,MADRAS MIDDLE,345,836.07,4.6,61.2,34.2,95.4,345,846.89,2.6,43.5,53.9,97.4,344,844.13,6.1,50.0,43.9,93.9,351,852.45,6.8,41.9,51.3,93.2,351,859.17,10.5,27.9,61.5,89.5,16,3rd,
6380301,COWETA COUNTY,SMOKEY ROAD M,273,827.75,6.6,72.2,21.2,93.4,273,837.59,4.0,57.9,38.1,96.0,271,834.80,8.9,64.9,26.2,91.1,282,838.33,14.9,44.0,41.1,85.1,281,830.70,27.4,37.4,35.2,72.6,16,3rd,
6380395,COWETA COUNTY,ARNALL MIDDLE,277,839.04,2.5,61.4,36.1,97.5,275,854.09,1.8,39.3,58.9,98.2,279,849.48,2.9,48.4,48.7,97.1,284,847.77,8.5,43.0,48.6,91.5,281,850.21,14.6,37.0,48.4,85.4,16,3rd,
6381056,COWETA COUNTY,EVANS MIDDLE,240,835.20,4.2,67.9,27.9,95.8,239,847.83,0.8,53.1,46.0,99.2,235,840.21,4.7,62.6,32.8,95.3,243,840.30,7.0,53.5,39.5,93.0,242,849.69,10.7,36.4,52.9,89.3,16,3rd,
6390202,CRAWFORD COUNTY,CRAWFORD CO M,142,825.42,10.6,75.4,14.1,89.4,142,838.46,3.5,53.5,43.0,96.5,142,834.08,10.6,57.0,32.4,89.4,142,831.93,15.5,54.9,29.6,84.5,142,805.49,45.8,43.7,10.6,54.2,8,2nd,
6400197,CRISP COUNTY,CRISP CO MIDD,271,827.86,9.2,72.0,18.8,90.8,270,838.75,5.9,55.6,38.5,94.1,268,839.76,6.3,59.0,34.7,93.7,279,833.57,21.5,46.2,32.3,78.5,278,844.23,16.9,31.3,51.8,83.1,2,2nd,
6410295,DADE COUNTY,DADE MIDDLE S,184,831.67,8.2,65.8,26.1,91.8,184,840.78,6.5,50.0,43.5,93.5,182,830.10,16.5,58.2,25.3,83.5,187,833.86,20.3,41.7,38.0,79.7,187,812.77,43.9,35.8,20.3,56.1,11,9th,
6420106,DAWSON COUNTY,RIVERVIEW MID,126,833.24,4.0,71.4,24.6,96.0,127,847.73,3.1,44.9,52.0,96.9,125,844.92,4.8,57.6,37.6,95.2,127,852.61,6.3,36.2,57.5,93.7,127,871.65,6.3,20.5,73.2,93.7,14,9th,
6420109,DAWSON COUNTY,NEW DAWSON CO,148,835.72,4.7,62.2,33.1,95.3,148,845.34,6.8,44.6,48.6,93.2,146,841.12,10.3,49.3,40.4,89.7,154,840.20,13.0,46.1,40.9,87.0,154,873.66,7.8,23.4,68.8,92.2,14,9th,
6432050,DECATUR COUNTY,BAINBRIDGE MI,388,824.10,11.9,74.7,13.4,88.1,386,835.63,8.8,58.3,32.9,91.2,383,828.22,12.5,66.1,21.4,87.5,393,837.51,14.2,47.6,38.2,85.8,393,814.01,35.4,46.3,18.3,64.6,15,2nd,
6440101,DEKALB COUNTY,AVONDALE MIDD,155,812.22,25.8,71.0,3.2,74.2,158,817.79,22.2,68.4,9.5,77.8,154,811.96,28.6,64.3,7.1,71.4,162,814.20,35.8,47.5,16.7,64.2,162,784.19,73.5,23.5,3.1,26.5,7,4th,
6440189,DEKALB COUNTY,PEACHTREE MID,386,836.82,8.5,52.3,39.1,91.5,387,846.54,7.2,40.6,52.2,92.8,389,844.52,10.8,45.8,43.4,89.2,390,842.56,21.0,31.3,47.7,79.0,385,854.49,21.3,23.4,55.3,78.7,7,6th,
6440193,DEKALB COUNTY,CHAPEL HILL M,368,822.68,14.9,68.8,16.3,85.1,368,831.12,12.2,59.5,28.3,87.8,366,826.07,18.6,59.0,22.4,81.4,367,826.25,24.3,50.7,25.1,75.7,366,819.89,37.2,36.6,26.2,62.8,7,4th,
6440200,DEKALB COUNTY,CEDAR GROVE M,330,809.35,31.5,63.3,5.2,68.5,330,815.22,27.0,60.6,12.4,73.0,327,808.80,37.6,54.4,8.0,62.4,331,795.47,62.2,32.3,5.4,37.8,330,773.34,86.4,12.7,0.9,13.6,7,4th,
6440201,DEKALB COUNTY,FREEDOM MIDDL,278,815.03,26.3,64.4,9.4,73.7,283,821.15,25.4,53.7,20.8,74.6,282,816.84,31.9,50.7,17.4,68.1,287,816.02,39.4,40.4,20.2,60.6,287,800.93,53.3,32.4,14.3,46.7,7,4th,
6440203,DEKALB COUNTY,LITHONIA MIDD,412,816.65,21.8,69.2,9.0,78.2,414,823.19,18.6,61.6,19.8,81.4,412,812.66,34.0,54.9,11.2,66.0,414,814.23,38.4,44.2,17.4,61.6,414,798.01,58.0,29.5,12.6,42.0,7,4th,
6440205,DEKALB COUNTY,REDAN MIDDLE,329,822.78,12.8,70.5,16.7,87.2,331,833.30,9.7,59.8,30.5,90.3,326,821.11,20.9,63.8,15.3,79.1,332,823.48,27.1,47.0,25.9,72.9,332,820.26,43.7,25.0,31.3,56.3,7,4th,
6440290,DEKALB COUNTY,SEQUOYAH MIDD,302,819.91,16.2,73.2,10.6,83.8,302,829.24,12.6,62.6,24.8,87.4,309,828.27,16.2,62.5,21.4,83.8,312,827.95,28.2,43.3,28.5,71.8,304,840.61,17.1,38.2,44.7,82.9,7,4th,
6440291,DEKALB COUNTY,SALEM MIDDLE,365,817.03,16.7,73.7,9.6,83.3,365,824.78,15.9,64.9,19.2,84.1,365,812.85,31.2,59.2,9.6,68.8,367,803.48,46.3,43.9,9.8,53.7,367,783.53,73.3,24.0,2.7,26.7,7,4th,
6440301,DEKALB COUNTY,COLUMBIA MIDD,356,817.42,20.8,71.9,7.3,79.2,356,827.62,14.6,61.2,24.2,85.4,357,822.54,24.4,55.2,20.4,75.6,356,820.03,30.9,46.9,22.2,69.1,355,811.72,38.9,43.1,18.0,61.1,7,4th,
6440302,DEKALB COUNTY,DEKALB TRANSI,20,804.00,35.0,65.0,0.0,65.0,19,808.89,36.8,57.9,5.3,63.2,19,785.32,78.9,21.1,0.0,21.1,19,784.00,84.2,15.8,0.0,15.8,19,765.47,94.7,5.3,0.0,5.3,7,4th,
6440397,DEKALB COUNTY,STEPHENSON MI,381,822.52,13.4,72.7,13.9,86.6,383,829.22,14.1,59.8,26.1,85.9,372,826.30,21.2,53.5,25.3,78.8,385,815.57,35.3,47.3,17.4,64.7,385,797.46,50.6,41.8,7.5,49.4,7,4th,
6440401,DEKALB COUNTY,MARY MCLEOD B,274,817.11,17.5,74.8,7.7,82.5,273,826.81,12.5,65.6,22.0,87.5,274,826.41,19.0,58.8,22.3,81.0,274,811.28,36.9,51.8,11.3,63.1,274,803.64,49.6,38.3,12.0,50.4,7,4th,
6440406,DEKALB COUNTY,CHAMBLEE MIDD,307,845.07,3.9,45.0,51.1,96.1,306,857.67,3.6,34.6,61.8,96.4,307,852.11,7.8,36.5,55.7,92.2,308,851.79,10.7,32.5,56.8,89.3,307,862.94,13.4,22.1,64.5,86.6,7,4th,
6440500,DEKALB COUNTY,DEKALB ALT SC,47,794.47,59.6,40.4,0.0,40.4,45,791.96,64.4,35.6,0.0,35.6,48,785.71,81.3,18.8,0.0,18.8,45,776.62,86.7,13.3,0.0,13.3,39,761.18,92.3,7.7,0.0,7.7,7,4th,
6440506,DEKALB COUNTY,STONE MOUNTAI,334,817.00,18.0,76.3,5.7,82.0,334,823.94,16.8,66.8,16.5,83.2,334,822.43,22.2,63.8,14.1,77.8,336,813.17,38.4,46.1,15.5,61.6,334,803.12,49.1,38.6,12.3,50.9,7,4th,
6440507,DEKALB COUNTY,THE CHAMPION,199,832.99,0.5,77.9,21.6,99.5,199,844.00,0.5,53.8,45.7,99.5,199,827.39,15.1,65.3,19.6,84.9,200,834.14,14.5,56.5,29.0,85.5,200,847.26,14.0,41.5,44.5,86.0,7,4th,
6440597,DEKALB COUNTY,MILLER GROVE,336,820.54,14.0,75.0,11.0,86.0,335,827.77,16.1,59.7,24.2,83.9,333,818.57,21.3,67.0,11.7,78.7,335,824.85,22.4,52.2,25.4,77.6,335,820.43,34.0,40.3,25.7,66.0,7,4th,
6440605,DEKALB COUNTY,TUCKER MIDDLE,445,827.42,11.5,67.6,20.9,88.5,445,834.39,10.8,56.2,33.0,89.2,451,824.20,23.5,56.1,20.4,76.5,452,826.92,27.0,42.5,30.5,73.0,444,822.13,37.6,35.8,26.6,62.4,7,4th,
6440705,DEKALB COUNTY,DEKALB PATH A,76,831.13,3.9,69.7,26.3,96.1,76,844.13,1.3,53.9,44.7,98.7,76,850.93,0.0,52.6,47.4,100.0,76,840.18,7.9,50.0,42.1,92.1,76,882.03,0.0,14.5,85.5,100.0,7,4th,
6440707,DEKALB COUNTY,UHS OF LAUREL,5,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,7,5th,
6440797,DEKALB COUNTY,HENDERSON MID,424,837.47,7.1,55.2,37.7,92.9,424,846.15,6.4,43.4,50.2,93.6,425,841.71,10.6,45.9,43.5,89.4,427,848.68,12.4,37.2,50.4,87.6,424,848.89,19.6,28.1,52.4,80.4,7,4th,
6440897,DEKALB COUNTY,SHAMROCK MIDD,332,828.57,16.3,58.7,25.0,83.7,330,834.83,13.3,49.1,37.6,86.7,328,830.81,18.9,53.4,27.7,81.1,335,835.12,23.6,34.9,41.5,76.4,335,843.64,25.7,25.7,48.7,74.3,7,5th,
6441010,DEKALB COUNTY,DEKALB ACADEM,52,835.21,3.8,69.2,26.9,96.2,52,844.19,1.9,53.8,44.2,98.1,52,821.50,19.2,63.5,17.3,80.8,52,828.31,11.5,67.3,21.2,88.5,52,835.04,15.4,48.1,36.5,84.6,7,4th,
6441050,DEKALB COUNTY,DEKALB ELEMEN,61,839.41,1.6,59.0,39.3,98.4,61,852.39,0.0,52.5,47.5,100.0,61,849.85,3.3,49.2,47.5,96.7,61,844.72,3.3,52.5,44.3,96.7,61,807.31,36.1,57.4,6.6,63.9,7,4th,
6441057,DEKALB COUNTY,MCNAIR MIDDLE,246,812.52,27.6,67.5,4.9,72.4,245,820.62,16.3,72.2,11.4,83.7,238,807.37,40.8,53.4,5.9,59.2,250,802.78,48.0,44.8,7.2,52.0,248,784.90,75.0,21.4,3.6,25.0,7,4th,
6441100,DEKALB COUNTY,INTERNATIONAL,112,776.80,99.1,0.9,0.0,0.9,112,768.46,99.1,0.9,0.0,0.9,111,775.74,95.5,4.5,0.0,4.5,111,772.36,98.2,1.8,0.0,1.8,112,760.21,100.0,0.0,0.0,0.0,7,4th,
6445066,DEKALB COUNTY,DEKALB ROCKDA,7,      --,      --,      --,      --,      --,7,      --,      --,      --,      --,      --,6,      --,      --,      --,      --,      --,11,772.09,100.0,0.0,0.0,0.0,10,762.20,100.0,0.0,0.0,0.0,7,4th,
6450180,DODGE COUNTY,DODGE CO MIDD,231,827.96,7.8,74.9,17.3,92.2,228,837.65,7.9,55.3,36.8,92.1,227,830.63,10.1,65.2,24.7,89.9,235,833.49,16.2,51.5,32.3,83.8,236,840.65,19.1,38.6,42.4,80.9,6,8th,
6460204,DOOLY COUNTY,DOOLY CO MIDD,104,814.86,21.2,71.2,7.7,78.8,104,824.81,11.5,76.0,12.5,88.5,104,812.46,31.7,59.6,8.7,68.3,104,808.40,35.6,56.7,7.7,64.4,104,797.52,59.6,32.7,7.7,40.4,2,2nd,
6470101,DOUGHERTY COUNTY,ALBANY MIDDLE,164,810.23,27.4,69.5,3.0,72.6,164,821.27,12.2,79.9,7.9,87.8,164,821.49,15.2,72.0,12.8,84.8,167,808.17,39.5,52.7,7.8,60.5,167,792.77,61.1,30.5,8.4,38.9,15,2nd,
6470103,DOUGHERTY COUNTY,ROBERT A CRO,205,839.01,0.5,71.7,27.8,99.5,205,854.01,0.0,37.1,62.9,100.0,205,843.97,2.4,59.5,38.0,97.6,205,846.19,3.4,50.2,46.3,96.6,205,854.68,5.9,34.6,59.5,94.1,15,2nd,
6470106,DOUGHERTY COUNTY,RADIUM SPR MI,228,813.69,22.8,74.1,3.1,77.2,227,827.74,11.0,63.9,25.1,89.0,222,824.86,18.5,62.2,19.4,81.5,226,802.59,45.6,49.6,4.9,54.4,226,794.25,58.8,31.9,9.3,41.2,15,2nd,
6473052,DOUGHERTY COUNTY,DOUGHERTY MID,175,810.38,30.3,68.6,1.1,69.7,174,823.59,16.1,62.6,21.3,83.9,171,817.57,18.1,71.9,9.9,81.9,173,814.35,32.4,53.8,13.9,67.6,173,815.14,35.8,43.9,20.2,64.2,15,2nd,
6474056,DOUGHERTY COUNTY,MERRY ACRES M,231,827.14,5.2,76.6,18.2,94.8,232,842.21,5.6,51.7,42.7,94.4,231,840.66,4.3,60.6,35.1,95.7,236,827.08,21.2,51.7,27.1,78.8,236,833.48,29.7,34.3,36.0,70.3,15,2nd,
6475060,DOUGHERTY COUNTY,SOUTHSIDE MID,162,814.16,21.6,75.3,3.1,78.4,162,827.23,11.7,71.6,16.7,88.3,162,821.28,12.3,77.2,10.5,87.7,165,824.02,20.6,58.2,21.2,79.4,165,814.08,35.2,46.7,18.2,64.8,15,2nd,
