Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District
6330190,COBB COUNTY,DOWELL ELEMEN,180,830.63,5.6,68.3,26.1,94.4,179,833.80,3.4,72.1,24.6,96.6,170,848.35,5.9,45.9,48.2,94.1,180,823.83,26.1,43.3,30.6,73.9,180,810.76,37.2,48.9,13.9,62.8,7,11th
6330191,COBB COUNTY,VARNER ELEMEN,127,840.00,3.9,53.5,42.5,96.1,129,839.68,1.6,63.6,34.9,98.4,123,846.36,4.1,50.4,45.5,95.9,131,833.27,16.8,43.5,39.7,83.2,131,820.63,16.8,66.4,16.8,83.2,7,11th
6330194,COBB COUNTY,HAYES ELEMENT,184,832.59,13.6,50.5,35.9,86.4,185,835.71,10.8,56.8,32.4,89.2,185,833.12,16.2,48.1,35.7,83.8,186,816.96,29.6,50.5,19.9,70.4,186,809.48,40.3,46.8,12.9,59.7,7,11th
6330197,COBB COUNTY,VAUGHAN ELEME,136,851.91,1.5,37.5,61.0,98.5,136,846.32,1.5,58.1,40.4,98.5,135,868.28,1.5,20.0,78.5,98.5,137,849.91,5.8,35.0,59.1,94.2,137,829.74,9.5,62.8,27.7,90.5,7,11th
6330198,COBB COUNTY,CHALKER ELEME,136,842.69,2.9,50.7,46.3,97.1,136,844.22,2.9,53.7,43.4,97.1,134,853.39,4.5,41.0,54.5,95.5,137,840.47,10.2,48.2,41.6,89.8,137,826.60,19.7,54.7,25.5,80.3,7,11th
6330199,COBB COUNTY,NICKAJACK ELE,133,833.62,7.5,60.2,32.3,92.5,129,835.19,8.5,65.1,26.4,91.5,129,835.50,10.1,58.1,31.8,89.9,138,823.50,24.6,46.4,29.0,75.4,138,817.80,31.9,50.0,18.1,68.1,7,13th
6330203,COBB COUNTY,KEMP ELEMENTA,174,854.22,2.3,33.3,64.4,97.7,173,854.66,4.0,32.9,63.0,96.0,172,879.23,5.2,12.8,82.0,94.8,174,859.66,5.7,33.3,60.9,94.3,174,842.48,8.0,45.4,46.6,92.0,7,11th
6330204,COBB COUNTY,PITNER ELEMEN,165,836.21,3.0,64.2,32.7,97.0,161,837.12,3.1,67.1,29.8,96.9,157,835.75,9.6,58.0,32.5,90.4,167,830.20,23.4,43.1,33.5,76.6,167,823.81,24.6,52.1,23.4,75.4,7,11th
6330273,COBB COUNTY,KINCAID ELEME,113,847.17,2.7,41.6,55.8,97.3,113,850.71,2.7,43.4,54.0,97.3,111,849.87,6.3,45.9,47.7,93.7,114,859.10,7.0,29.8,63.2,93.0,114,837.54,8.8,50.0,41.2,91.2,7,6th
6330278,COBB COUNTY,MOUNT BETHEL,188,857.06,0.0,29.3,70.7,100.0,188,860.37,1.1,27.7,71.3,98.9,187,874.47,1.1,28.9,70.1,98.9,189,872.28,3.7,18.0,78.3,96.3,189,853.10,3.2,38.6,58.2,96.8,7,6th
6330287,COBB COUNTY,LEWIS ELEMENT,169,839.30,7.1,43.8,49.1,92.9,168,843.94,3.6,57.1,39.3,96.4,168,844.72,7.7,41.7,50.6,92.3,172,829.83,19.2,43.0,37.8,80.8,170,822.54,20.0,61.8,18.2,80.0,7,11th
6330288,COBB COUNTY,MOUNTAIN VIEW,139,853.14,1.4,37.4,61.2,98.6,138,853.91,1.4,42.8,55.8,98.6,135,864.00,3.0,28.9,68.1,97.0,139,863.05,3.6,29.5,66.9,96.4,138,846.27,7.2,42.8,50.0,92.8,7,6th
6330289,COBB COUNTY,ADDISON ELEME,85,845.65,1.2,55.3,43.5,98.8,84,846.33,1.2,58.3,40.5,98.8,84,860.68,2.4,27.4,70.2,97.6,86,855.02,4.7,39.5,55.8,95.3,86,836.44,8.1,54.7,37.2,91.9,7,6th
6330291,COBB COUNTY,SHALLOWFORD F,129,856.93,1.6,27.1,71.3,98.4,128,862.74,0.8,30.5,68.8,99.2,129,870.35,1.6,27.9,70.5,98.4,130,881.36,2.3,13.1,84.6,97.7,127,854.26,2.4,38.6,59.1,97.6,7,6th
6330292,COBB COUNTY,FORD ELEMENTA,170,851.32,2.4,39.4,58.2,97.6,169,854.65,0.6,38.5,60.9,99.4,168,863.30,2.4,35.1,62.5,97.6,170,865.36,5.9,25.3,68.8,94.1,169,841.49,8.3,50.3,41.4,91.7,7,11th
6330297,COBB COUNTY,FREY ELEMENTA,113,846.87,3.5,43.4,53.1,96.5,114,846.59,2.6,53.5,43.9,97.4,113,860.64,4.4,32.7,62.8,95.6,115,853.78,8.7,30.4,60.9,91.3,115,838.74,9.6,49.6,40.9,90.4,7,11th
6330298,COBB COUNTY,CHEATHAM HILL,177,840.41,5.6,49.7,44.6,94.4,177,839.64,5.1,59.3,35.6,94.9,172,854.03,8.7,35.5,55.8,91.3,179,833.93,17.3,45.3,37.4,82.7,179,818.40,25.1,62.0,12.8,74.9,7,11th
6330302,COBB COUNTY,ACWORTH INTER,212,831.23,9.9,58.0,32.1,90.1,207,835.98,8.7,58.9,32.4,91.3,201,836.23,15.9,50.2,33.8,84.1,216,823.63,31.9,35.6,32.4,68.1,216,811.63,39.4,44.4,16.2,60.6,7,11th
6330304,COBB COUNTY,KENNESAW CHAR,56,843.36,1.8,44.6,53.6,98.2,56,847.86,0.0,55.4,44.6,100.0,56,856.79,1.8,39.3,58.9,98.2,56,843.39,7.1,44.6,48.2,92.9,56,823.93,12.5,71.4,16.1,87.5,7,11th
6330375,COBB COUNTY,MURDOCK ELEME,149,859.13,0.7,32.2,67.1,99.3,147,866.97,0.0,17.0,83.0,100.0,147,878.38,2.7,17.7,79.6,97.3,147,876.22,2.7,19.7,77.6,97.3,147,847.15,3.4,44.9,51.7,96.6,7,6th
6330378,COBB COUNTY,ROCKY MOUNT E,122,849.93,0.0,41.0,59.0,100.0,122,851.70,0.8,41.0,58.2,99.2,119,866.82,0.0,31.9,68.1,100.0,123,856.05,4.9,35.8,59.3,95.1,122,847.25,4.1,45.1,50.8,95.9,7,6th
6330388,COBB COUNTY,DAVIS ELEMENT,99,849.45,1.0,38.4,60.6,99.0,98,849.40,2.0,45.9,52.0,98.0,96,856.24,6.3,29.2,64.6,93.8,100,861.05,5.0,24.0,71.0,95.0,99,854.13,4.0,26.3,69.7,96.0,7,6th
6330391,COBB COUNTY,NICHOLSON ELE,93,843.96,1.1,54.8,44.1,98.9,94,845.26,2.1,59.6,38.3,97.9,91,856.52,3.3,44.0,52.7,96.7,96,841.90,9.4,52.1,38.5,90.6,95,822.73,13.7,74.7,11.6,86.3,7,6th
6330397,COBB COUNTY,GREEN ACRES E,104,816.85,16.3,75.0,8.7,83.7,103,828.66,7.8,73.8,18.4,92.2,103,837.33,10.7,45.6,43.7,89.3,107,802.78,45.8,46.7,7.5,54.2,107,788.92,79.4,18.7,1.9,20.6,7,13th
6330398,COBB COUNTY,SANDERS ELEME,131,821.67,10.7,71.0,18.3,89.3,130,824.02,11.5,73.1,15.4,88.5,126,828.69,21.4,48.4,30.2,78.6,130,800.20,50.8,38.5,10.8,49.2,129,794.40,63.6,34.9,1.6,36.4,7,11th
6330399,COBB COUNTY,BLACKWELL ELE,115,836.46,5.2,62.6,32.2,94.8,116,836.73,3.4,69.8,26.7,96.6,114,843.46,4.4,53.5,42.1,95.6,121,836.35,13.2,49.6,37.2,86.8,120,821.60,20.8,60.0,19.2,79.2,7,11th
6330402,COBB COUNTY,AUSTELL INTER,136,833.17,7.4,63.2,29.4,92.6,136,841.14,2.9,61.0,36.0,97.1,134,859.59,3.7,33.6,62.7,96.3,136,814.61,28.7,54.4,16.9,71.3,136,801.46,45.6,50.0,4.4,54.4,7,13th
6330478,COBB COUNTY,SOPE CREEK EL,178,862.73,0.6,24.2,75.3,99.4,178,863.93,0.6,22.5,77.0,99.4,181,882.86,2.8,16.6,80.7,97.2,178,878.04,2.2,19.7,78.1,97.8,177,863.94,2.8,29.9,67.2,97.2,7,6th
6330489,COBB COUNTY,POWDER SPRING,144,821.80,19.4,61.8,18.8,80.6,145,826.21,16.6,60.0,23.4,83.4,143,818.11,30.1,49.0,21.0,69.9,149,807.42,40.9,41.6,17.4,59.1,148,805.09,43.9,47.3,8.8,56.1,7,13th
6330491,COBB COUNTY,TIMBER RIDGE,94,860.29,1.1,24.5,74.5,98.9,94,862.13,1.1,28.7,70.2,98.9,92,878.62,0.0,14.1,85.9,100.0,94,886.82,2.1,17.0,80.9,97.9,94,847.43,5.3,43.6,51.1,94.7,7,6th
6330504,COBB COUNTY,BIG SHANTY EL,275,840.71,5.1,50.9,44.0,94.9,280,841.53,5.7,53.6,40.7,94.3,262,848.76,9.5,39.3,51.1,90.5,282,839.07,17.0,39.0,44.0,83.0,282,825.60,21.3,52.5,26.2,78.7,7,11th
6330592,COBB COUNTY,BRYANT ELEMEN,119,826.73,12.6,64.7,22.7,87.4,118,837.29,7.6,62.7,29.7,92.4,120,850.30,8.3,45.0,46.7,91.7,123,808.30,39.8,44.7,15.4,60.2,121,804.33,45.5,47.9,6.6,54.5,7,13th
6330807,COBB COUNTY,DEVEREUX ACKE,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,7,11th
6331052,COBB COUNTY,BELMONT HILLS,75,818.04,16.0,73.3,10.7,84.0,75,823.28,12.0,73.3,14.7,88.0,75,825.19,16.0,62.7,21.3,84.0,80,814.04,28.8,52.5,18.8,71.3,80,808.93,42.5,46.3,11.3,57.5,7,13th
6331058,COBB COUNTY,EAST SIDE ELE,171,854.05,2.3,31.6,66.1,97.7,171,856.23,1.2,39.8,59.1,98.8,172,868.19,4.7,27.9,67.4,95.3,173,870.12,4.0,25.4,70.5,96.0,171,855.02,5.8,28.7,65.5,94.2,7,6th
6331066,COBB COUNTY,NORTON PARK E,117,822.57,17.9,65.8,16.2,82.1,112,827.25,15.2,66.1,18.8,84.8,109,836.48,20.2,34.9,45.0,79.8,121,810.43,35.5,47.9,16.5,64.5,121,799.75,55.4,40.5,4.1,44.6,7,13th
6331067,COBB COUNTY,POWERS FERRY,80,822.63,17.5,67.5,15.0,82.5,80,824.53,16.3,67.5,16.3,83.8,81,822.72,23.5,49.4,27.2,76.5,81,808.30,39.5,46.9,13.6,60.5,81,796.77,56.8,40.7,2.5,43.2,7,6th
6331068,COBB COUNTY,SKY VIEW ELEM,54,830.31,1.9,68.5,29.6,98.1,54,835.89,5.6,64.8,29.6,94.4,54,838.93,14.8,46.3,38.9,85.2,55,826.82,20.0,52.7,27.3,80.0,55,812.73,27.3,61.8,10.9,72.7,7,13th
6332050,COBB COUNTY,ARGYLE ELEMEN,85,836.64,2.4,64.7,32.9,97.6,83,839.27,1.2,67.5,31.3,98.8,84,836.90,7.1,56.0,36.9,92.9,93,821.98,24.7,53.8,21.5,75.3,91,807.07,39.6,53.8,6.6,60.4,7,13th
6332054,COBB COUNTY,CLARKDALE ELE,63,831.71,6.3,65.1,28.6,93.7,66,832.58,9.1,63.6,27.3,90.9,62,848.37,8.1,37.1,54.8,91.9,66,829.39,24.2,43.9,31.8,75.8,66,821.21,24.2,57.6,18.2,75.8,7,11th
6332062,COBB COUNTY,KING SPRINGS,93,843.77,4.3,46.2,49.5,95.7,95,845.04,6.3,47.4,46.3,93.7,92,863.35,5.4,32.6,62.0,94.6,95,852.08,11.6,36.8,51.6,88.4,95,830.25,15.8,53.7,30.5,84.2,7,13th
6333054,COBB COUNTY,CLAY ELEMENTA,97,823.76,16.5,63.9,19.6,83.5,96,825.66,11.5,70.8,17.7,88.5,98,833.50,14.3,48.0,37.8,85.7,100,807.03,43.0,38.0,19.0,57.0,100,802.86,47.0,45.0,8.0,53.0,7,13th
6333058,COBB COUNTY,FAIR OAKS ELE,111,819.38,20.7,62.2,17.1,79.3,110,825.71,10.9,70.0,19.1,89.1,112,844.38,12.5,38.4,49.1,87.5,114,805.99,45.6,41.2,13.2,54.4,112,797.71,60.7,34.8,4.5,39.3,7,13th
6333060,COBB COUNTY,HARMONY LELAN,83,827.81,8.4,69.9,21.7,91.6,83,833.59,9.6,62.7,27.7,90.4,82,835.23,8.5,56.1,35.4,91.5,86,819.50,25.6,51.2,23.3,74.4,85,813.78,35.3,52.9,11.8,64.7,7,13th
6333062,COBB COUNTY,LABELLE ELEME,72,820.94,18.1,66.7,15.3,81.9,73,830.25,5.5,69.9,24.7,94.5,71,828.06,22.5,45.1,32.4,77.5,74,796.99,52.7,40.5,6.8,47.3,74,797.89,56.8,41.9,1.4,43.2,7,13th
6333064,COBB COUNTY,MILFORD ELEME,99,820.56,12.1,74.7,13.1,87.9,98,825.89,12.2,70.4,17.3,87.8,100,826.88,19.0,54.0,27.0,81.0,103,805.40,43.7,48.5,7.8,56.3,102,801.05,49.0,49.0,2.0,51.0,7,13th
6333067,COBB COUNTY,RUSSELL ELEME,114,826.32,11.4,67.5,21.1,88.6,116,835.96,8.6,57.8,33.6,91.4,108,842.02,12.0,42.6,45.4,88.0,116,825.94,19.8,52.6,27.6,80.2,116,809.90,37.1,51.7,11.2,62.9,7,13th
6333556,COBB COUNTY,COMPTON ELEME,80,819.75,22.5,60.0,17.5,77.5,80,818.76,21.3,63.8,15.0,78.8,81,823.90,21.0,49.4,29.6,79.0,83,800.45,49.4,34.9,15.7,50.6,82,795.67,64.6,31.7,3.7,35.4,7,13th
6334052,COBB COUNTY,BROWN ELEMENT,33,838.33,0.0,57.6,42.4,100.0,36,829.89,5.6,75.0,19.4,94.4,34,836.47,8.8,55.9,35.3,91.2,36,830.89,16.7,50.0,33.3,83.3,36,819.14,25.0,58.3,16.7,75.0,7,13th
6334068,COBB COUNTY,TEASLEY ELEME,81,837.02,7.4,59.3,33.3,92.6,81,836.37,3.7,69.1,27.2,96.3,79,841.53,3.8,60.8,35.4,96.2,83,825.89,27.7,44.6,27.7,72.3,82,814.16,32.9,50.0,17.1,67.1,7,13th
6334560,COBB COUNTY,HOLLYDALE ELE,143,826.49,10.5,64.3,25.2,89.5,142,832.17,9.9,64.8,25.4,90.1,141,845.43,8.5,44.0,47.5,91.5,147,815.43,26.5,57.1,16.3,73.5,146,808.03,43.8,47.3,8.9,56.2,7,13th
6335050,COBB COUNTY,BELLS FERRY E,91,840.99,5.5,56.0,38.5,94.5,91,844.31,2.2,59.3,38.5,97.8,90,835.92,7.8,56.7,35.6,92.2,90,848.89,13.3,34.4,52.2,86.7,91,832.77,15.4,49.5,35.2,84.6,7,11th
6335052,COBB COUNTY,BRUMBY ELEMEN,152,822.00,18.4,63.2,18.4,81.6,152,828.18,13.2,63.8,23.0,86.8,153,826.31,21.6,51.0,27.5,78.4,153,805.08,40.5,49.0,10.5,59.5,151,800.48,55.6,39.7,4.6,44.4,7,11th
6335056,COBB COUNTY,DUE WEST ELEM,94,852.28,0.0,34.0,66.0,100.0,94,852.87,1.1,39.4,59.6,98.9,93,857.67,1.1,29.0,69.9,98.9,94,860.57,4.3,33.0,62.8,95.7,94,832.06,9.6,60.6,29.8,90.4,7,11th
6335062,COBB COUNTY,MABLETON ELEM,76,839.12,5.3,53.9,40.8,94.7,77,841.55,9.1,48.1,42.9,90.9,75,855.95,10.7,29.3,60.0,89.3,78,837.67,17.9,42.3,39.7,82.1,78,825.68,21.8,50.0,28.2,78.2,7,13th
6335067,COBB COUNTY,SEDALIA PARK,112,836.16,8.0,56.3,35.7,92.0,111,840.44,2.7,57.7,39.6,97.3,111,852.77,7.2,41.4,51.4,92.8,113,833.43,21.2,44.2,34.5,78.8,112,823.29,21.4,57.1,21.4,78.6,7,6th
6335068,COBB COUNTY,EASTVALLEY EL,98,842.40,4.1,48.0,48.0,95.9,97,844.84,2.1,57.7,40.2,97.9,98,854.65,3.1,40.8,56.1,96.9,98,844.34,15.3,31.6,53.1,84.7,98,824.56,23.5,58.2,18.4,76.5,7,6th
6340100,COFFEE COUNTY,INDIAN CREEK,136,836.32,6.6,58.8,34.6,93.4,137,842.45,3.6,59.1,37.2,96.4,136,851.38,4.4,41.2,54.4,95.6,138,838.40,15.2,43.5,41.3,84.8,137,833.30,17.5,50.4,32.1,82.5,13,1st
6340102,COFFEE COUNTY,AMBROSE ELEME,63,834.65,3.2,65.1,31.7,96.8,63,837.44,1.6,73.0,25.4,98.4,63,849.65,3.2,42.9,54.0,96.8,63,839.14,12.7,44.4,42.9,87.3,63,824.29,17.5,63.5,19.0,82.5,13,1st
6340182,COFFEE COUNTY,SATILLA ELEME,116,827.17,9.5,66.4,24.1,90.5,116,833.34,6.9,65.5,27.6,93.1,115,840.90,16.5,35.7,47.8,83.5,117,821.63,24.8,49.6,25.6,75.2,117,819.18,29.9,47.9,22.2,70.1,13,1st
6340191,COFFEE COUNTY,BROXTON MARY,43,831.70,9.3,62.8,27.9,90.7,43,837.79,4.7,65.1,30.2,95.3,42,841.05,14.3,45.2,40.5,85.7,44,825.73,29.5,36.4,34.1,70.5,44,818.50,45.5,31.8,22.7,54.5,13,1st
6340282,COFFEE COUNTY,EASTSIDE ELEM,96,839.28,10.4,47.9,41.7,89.6,98,839.52,3.1,64.3,32.7,96.9,94,853.94,5.3,41.5,53.2,94.7,99,840.51,16.2,38.4,45.5,83.8,99,829.99,28.3,39.4,32.3,71.7,13,1st
6340291,COFFEE COUNTY,NICHOLLS ELEM,49,823.39,12.2,67.3,20.4,87.8,48,830.15,6.3,68.8,25.0,93.8,50,850.40,2.0,48.0,50.0,98.0,52,812.33,34.6,48.1,17.3,65.4,52,806.58,50.0,46.2,3.8,50.0,13,1st
6343052,COFFEE COUNTY,WEST GREEN EL,53,834.53,7.5,58.5,34.0,92.5,53,837.47,5.7,54.7,39.6,94.3,55,849.27,5.5,50.9,43.6,94.5,55,824.27,25.5,43.6,30.9,74.5,53,824.53,20.8,58.5,20.8,79.2,13,1st
6345050,COFFEE COUNTY,WESTSIDE ELEM,71,837.96,2.8,67.6,29.6,97.2,71,842.10,1.4,56.3,42.3,98.6,71,838.45,8.5,52.1,39.4,91.5,71,841.17,7.0,53.5,39.4,93.0,71,832.90,12.7,60.6,26.8,87.3,13,1st
6350178,COLQUITT COUNTY,DOERUN ELEMEN,31,832.52,6.5,71.0,22.6,93.5,31,838.23,9.7,61.3,29.0,90.3,31,840.84,9.7,48.4,41.9,90.3,31,840.58,9.7,58.1,32.3,90.3,31,821.48,19.4,67.7,12.9,80.6,15,8th
6350187,COLQUITT COUNTY,ODOM ELEMENTA,85,822.58,12.9,65.9,21.2,87.1,85,831.00,12.9,58.8,28.2,87.1,83,836.18,21.7,44.6,33.7,78.3,86,805.91,41.9,47.7,10.5,58.1,86,800.52,47.7,47.7,4.7,52.3,15,8th
6350278,COLQUITT COUNTY,NORMAN PARK E,72,829.24,9.7,63.9,26.4,90.3,73,831.75,9.6,67.1,23.3,90.4,74,846.51,10.8,39.2,50.0,89.2,74,841.92,10.8,41.9,47.3,89.2,74,823.82,17.6,62.2,20.3,82.4,15,8th
6352052,COLQUITT COUNTY,FUNSTON ELEME,54,827.67,7.4,74.1,18.5,92.6,54,842.85,5.6,55.6,38.9,94.4,54,841.33,14.8,35.2,50.0,85.2,56,829.16,16.1,51.8,32.1,83.9,56,815.91,25.0,64.3,10.7,75.0,15,8th
6352056,COLQUITT COUNTY,WRIGHT ELEMEN,61,835.54,4.9,59.0,36.1,95.1,61,843.67,3.3,55.7,41.0,96.7,60,861.80,1.7,35.0,63.3,98.3,61,838.89,18.0,41.0,41.0,82.0,61,832.30,14.8,63.9,21.3,85.2,15,8th
6353050,COLQUITT COUNTY,STRINGFELLOW,48,818.13,20.8,60.4,18.8,79.2,48,823.73,14.6,72.9,12.5,85.4,49,806.94,44.9,44.9,10.2,55.1,51,796.92,52.9,37.3,9.8,47.1,51,799.02,56.9,41.2,2.0,43.1,15,8th
6353054,COLQUITT COUNTY,OKAPILCO ELEM,75,832.44,6.7,60.0,33.3,93.3,75,839.25,6.7,53.3,40.0,93.3,75,852.03,10.7,28.0,61.3,89.3,76,835.70,17.1,47.4,35.5,82.9,76,826.36,13.2,67.1,19.7,86.8,15,8th
6354050,COLQUITT COUNTY,COX ELEMENTAR,77,817.71,23.4,62.3,14.3,76.6,77,825.12,14.3,66.2,19.5,85.7,78,830.58,14.1,55.1,30.8,85.9,80,812.04,36.3,48.8,15.0,63.8,80,804.49,47.5,43.8,8.8,52.5,15,8th
6354052,COLQUITT COUNTY,HAMILTON ELEM,40,838.35,5.0,57.5,37.5,95.0,40,845.98,0.0,60.0,40.0,100.0,39,836.18,17.9,38.5,43.6,82.1,39,839.15,12.8,43.6,43.6,87.2,39,822.92,17.9,61.5,20.5,82.1,15,8th
6355054,COLQUITT COUNTY,SUNSET ELEMEN,113,833.31,11.5,53.1,35.4,88.5,113,839.88,6.2,54.0,39.8,93.8,113,829.20,23.9,44.2,31.9,76.1,117,819.15,25.6,47.0,27.4,74.4,117,812.65,35.0,48.7,16.2,65.0,15,8th
6360102,COLUMBIA COUNTY,LEWISTON ELEM,145,843.47,3.4,49.7,46.9,96.6,145,843.47,4.8,54.5,40.7,95.2,145,839.09,6.9,55.2,37.9,93.1,147,849.95,8.8,38.1,53.1,91.2,147,829.64,17.0,52.4,30.6,83.0,1,10th
6360106,COLUMBIA COUNTY,RIVER RIDGE E,119,857.66,0.0,26.1,73.9,100.0,119,862.97,0.8,31.9,67.2,99.2,118,876.53,2.5,16.9,80.5,97.5,119,877.95,1.7,15.1,83.2,98.3,119,868.39,2.5,28.6,68.9,97.5,1,10th
6360173,COLUMBIA COUNTY,WESTMONT ELEM,92,844.88,2.2,50.0,47.8,97.8,92,844.42,1.1,56.5,42.4,98.9,92,850.52,4.3,42.4,53.3,95.7,93,861.40,5.4,25.8,68.8,94.6,92,828.65,13.0,62.0,25.0,87.0,1,10th
6360186,COLUMBIA COUNTY,EVANS ELEMENT,87,845.59,2.3,48.3,49.4,97.7,87,846.29,2.3,57.5,40.2,97.7,87,869.14,2.3,18.4,79.3,97.7,87,860.93,8.0,24.1,67.8,92.0,87,827.39,16.1,60.9,23.0,83.9,1,10th
6360188,COLUMBIA COUNTY,BLUE RIDGE EL,92,849.50,2.2,41.3,56.5,97.8,91,847.82,0.0,46.2,53.8,100.0,92,864.34,3.3,37.0,59.8,96.7,92,876.38,2.2,21.7,76.1,97.8,92,861.95,2.2,38.0,59.8,97.8,1,10th
6360190,COLUMBIA COUNTY,BROOKWOOD ELE,81,835.85,3.7,60.5,35.8,96.3,81,840.48,2.5,64.2,33.3,97.5,81,830.67,16.0,51.9,32.1,84.0,82,832.57,14.6,47.6,37.8,85.4,82,817.65,29.3,61.0,9.8,70.7,1,10th
6360192,COLUMBIA COUNTY,STEVENS CREEK,142,858.49,1.4,31.0,67.6,98.6,141,854.99,0.0,39.7,60.3,100.0,142,882.37,0.7,16.9,82.4,99.3,144,869.85,4.2,24.3,71.5,95.8,143,852.92,6.3,35.0,58.7,93.7,1,10th
6360194,COLUMBIA COUNTY,RIVERSIDE ELE,143,844.81,3.5,40.6,55.9,96.5,142,848.23,1.4,47.9,50.7,98.6,142,846.49,7.0,44.4,48.6,93.0,145,859.07,7.6,28.3,64.1,92.4,145,842.49,9.0,47.6,43.4,91.0,1,10th
6360208,COLUMBIA COUNTY,CEDAR RIDGE E,152,837.40,7.9,53.9,38.2,92.1,152,839.05,4.6,59.9,35.5,95.4,152,837.23,10.5,50.0,39.5,89.5,154,839.69,13.0,43.5,43.5,87.0,154,827.76,18.8,51.9,29.2,81.2,1,10th
6360297,COLUMBIA COUNTY,GREENBRIER EL,133,846.44,2.3,45.1,52.6,97.7,133,844.60,5.3,44.4,50.4,94.7,132,861.48,6.1,31.8,62.1,93.9,133,854.68,11.3,30.1,58.6,88.7,133,838.98,9.0,48.9,42.1,91.0,1,10th
6360397,COLUMBIA COUNTY,EUCHEE CREEK,49,831.39,4.1,63.3,32.7,95.9,49,830.04,12.2,59.2,28.6,87.8,49,847.61,12.2,38.8,49.0,87.8,49,837.24,10.2,53.1,36.7,89.8,49,823.35,24.5,53.1,22.4,75.5,1,10th
6361050,COLUMBIA COUNTY,BEL AIR ELEME,83,838.52,4.8,51.8,43.4,95.2,83,840.52,2.4,59.0,38.6,97.6,83,847.60,8.4,47.0,44.6,91.6,83,843.14,12.0,37.3,50.6,88.0,83,833.19,15.7,48.2,36.1,84.3,1,10th
6362052,COLUMBIA COUNTY,MARTINEZ ELEM,85,837.05,7.1,61.2,31.8,92.9,85,837.98,5.9,63.5,30.6,94.1,85,834.91,14.1,45.9,40.0,85.9,85,840.08,12.9,47.1,40.0,87.1,85,833.09,12.9,49.4,37.6,87.1,1,10th
6363052,COLUMBIA COUNTY,NORTH COLUMBI,61,846.46,0.0,44.3,55.7,100.0,61,841.90,0.0,62.3,37.7,100.0,61,838.77,4.9,59.0,36.1,95.1,61,869.20,0.0,26.2,73.8,100.0,61,841.64,4.9,57.4,37.7,95.1,1,10th
6364052,COLUMBIA COUNTY,NORTH HARLEM,95,831.55,13.7,51.6,34.7,86.3,95,835.99,4.2,63.2,32.6,95.8,95,836.67,11.6,53.7,34.7,88.4,95,825.62,29.5,40.0,30.5,70.5,95,810.71,37.9,51.6,10.5,62.1,1,10th
6365050,COLUMBIA COUNTY,GROVETOWN ELE,97,839.41,5.2,53.6,41.2,94.8,98,845.39,2.0,55.1,42.9,98.0,98,847.65,4.1,49.0,46.9,95.9,99,858.46,9.1,30.3,60.6,90.9,98,842.81,9.2,45.9,44.9,90.8,1,10th
6365052,COLUMBIA COUNTY,SOUTH COLUMBI,76,831.55,11.8,56.6,31.6,88.2,76,835.74,7.9,57.9,34.2,92.1,74,831.72,18.9,45.9,35.1,81.1,76,839.12,13.2,40.8,46.1,86.8,76,820.20,23.7,57.9,18.4,76.3,1,10th
6370104,COOK COUNTY,COOK ELEMENTA,268,829.07,7.5,66.4,26.1,92.5,275,833.04,6.5,63.6,29.8,93.5,270,827.11,19.6,54.1,26.3,80.4,278,839.50,15.8,43.2,41.0,84.2,277,832.74,16.6,49.1,34.3,83.4,3,1st
6380101,COWETA COUNTY,ARBOR SPRINGS,78,847.31,5.1,38.5,56.4,94.9,79,850.56,5.1,44.3,50.6,94.9,77,859.88,5.2,29.9,64.9,94.8,80,846.61,10.0,38.8,51.3,90.0,80,845.28,8.8,45.0,46.3,91.3,16,3rd
6380103,COWETA COUNTY,WILLIS ROAD E,145,837.86,5.5,55.2,39.3,94.5,145,846.54,3.4,48.3,48.3,96.6,145,838.30,11.7,49.7,38.6,88.3,145,845.43,10.3,37.9,51.7,89.7,145,830.86,15.2,55.9,29.0,84.8,16,3rd
6380115,COWETA COUNTY,BROOKS ELEMEN,98,841.05,3.1,56.1,40.8,96.9,98,849.62,1.0,45.9,53.1,99.0,97,844.54,6.2,47.4,46.4,93.8,99,847.28,12.1,34.3,53.5,87.9,99,831.67,12.1,58.6,29.3,87.9,16,3rd
6380189,COWETA COUNTY,WHITE OAK ELE,107,838.24,2.8,59.8,37.4,97.2,107,838.03,3.7,62.6,33.6,96.3,107,833.13,6.5,69.2,24.3,93.5,109,854.35,9.2,32.1,58.7,90.8,109,835.66,11.9,54.1,33.9,88.1,16,3rd
